MovieID	IDSubtitleFile	SubLanguageID	IDSubtitle	SubActualCD	SubSumCD	SubFormat	MovieName	MovieYear
1	20098	eng	17733	1	1	srt	Alien3	1992
2	160258	eng	117894	1	1	srt	Identity	2003
3	4	eng	3	1	1	srt	Innocence	2004
4	22219	eng	19601	1	2	srt	Planet of the Apes	2001
5	6	eng	5	1	2	srt	La cite des enfants perdus	1995
6	49346	eng	40142	1	1	srt	Antitrust	2001
7	190588	eng	139116	1	1	srt	Dirty Pretty Things	2002
8	63073	eng	50051	1	1	srt	Bringing Down the House	2003
9	64084	eng	50813	1	1	srt	Cradle 2 the Grave	2003
10	34595	eng	29227	1	1	srt	Death to Smoochy	2002
11	13	eng	11	1	2	srt	Hellboy	2004
13	16	eng	13	1	1	srt	Jui kuen II	1994
14	17	eng	14	1	2	srt	Shi mian mai fu	2004
15	1263	eng	1032	1	1	srt	Femme Fatale	2002
16	20	eng	16	1	1	srt	Lu ding ji	1992
17	21	eng	17	1	1	srt	Rashomon	1950
18	32359	eng	27537	1	1	srt	Back to the Future	1985
19	25	eng	20	1	1	srt	King of Comedy	1999
20	31844	eng	27160	1	2	srt	Sen to Chihiro no kamikakushi	2001
21	31349	eng	26769	1	1	srt	Resident Evil	2002
22	29	eng	23	2	2	srt	Back to the Future Part II	1989
23	31	eng	24	1	1	srt	Ghost Ship	2002
24	33	eng	26	1	1	srt	Lu ding ji II: Zhi shen long jiao	1992
25	39957	eng	33296	1	2	srt	It	1990
26	36	eng	28	1	1	srt	I Spy	2002
27	37	eng	29	1	1	srt	Dead Ringers	1988
28	399	eng	312	1	1	srt	Solaris	2002
29	30198	eng	25826	1	1	srt	The Time Machine	2002
30	41	eng	32	1	2	srt	Gojira tai Mekagojira	2002
31	56590	eng	45267	1	1	srt	The Lord of the Rings: The Return of the King	2003
32	96038	eng	73465	1	1	srt	Bad Santa	2003
33	107485	eng	80920	1	1	srt	White Chicks	2004
34	1951648333	eng	3113676	1	1	srt	Shrek	2001
35	1951860731	eng	3277219	1	1	srt	Cruel Intentions 2	2000
36	281	eng	211	1	1	srt	Finding Nemo	2003
37	32552	eng	27691	1	1	srt	Ice Age	2002
38	152964	eng	112405	1	1	srt	Leon	1994
39	193136	eng	141032	1	2	srt	The Boondock Saints	1999
40	85205	eng	66065	1	2	srt	21 Grams	2003
41	1621	eng	1331	1	1	srt	Ju-on: The Grudge 2	2003
42	1951845577	eng	3264985	1	1	srt	Wrong Turn	2003
43	42362	eng	35108	1	2	srt	Signs	2002
44	82800	eng	64271	1	1	srt	Monstrum	2003
45	86073	eng	66665	1	1	srt	Stuck On You	2003
46	1951648602	eng	3113895	1	1	srt	Equilibrium	2002
47	107495	eng	80928	1	1	srt	I, Robot	2004
48	26437	eng	22952	1	1	srt	Not Another Teen Movie	2001
49	952	eng	761	1	1	srt	Shaun of the Dead	2004
50	105006	eng	79284	1	1	srt	The Football Factory	2004
51	41707	eng	34614	1	1	srt	Coyote Ugly	2000
52	101043	eng	76675	1	1	srt	Immortel (ad vitam)	2004
53	78985	eng	61553	1	1	srt	Kaena: La prophétie	2003
54	331	eng	252	1	1	srt	Oldeuboi	2003
55	103886	eng	78488	1	1	srt	Gokudô kuroshakai	1997
56	96945	eng	74111	1	1	srt	This Is Spinal Tap	1984
57	617	eng	483	1	2	srt	Kung fu	2004
58	77	eng	61	1	1	srt	"Thunderbirds 2086"	1982
59	142	eng	113	1	1	srt	Appurushido	2004
60	1814	eng	1491	1	2	srt	Pulp Fiction	1994
61	298943	eng	225900	1	1	srt	Cabin Fever	2002
62	82	eng	65	1	1	srt	Brainstorm	1983
63	198783	eng	145337	1	1	srt	A Boy and His Dog	1975
64	892	eng	708	1	2	srt	Donnie Darko	2001
65	1951839617	eng	3261336	1	1	srt	The Transporter	2002
66	245964	eng	184545	1	2	srt	American Beauty	1999
67	89	eng	72	1	1	srt	Reservoir Dogs	1992
68	91	eng	74	1	2	srt	Janghwa, Hongryeon	2003
69	93	eng	75	1	1	srt	Audition	1997
70	94	eng	76	1	1	srt	Beautiful Creatures	2000
71	1951720654	eng	3168173	1	1	srt	Resident Evil: Apocalypse	2004
72	99	eng	80	1	1	srt	Crumb	1994
73	100	eng	81	1	2	srt	Shaolin Si	1982
74	114737	eng	85646	1	1	srt	Saw	2004
75	581	eng	453	1	1	srt	Shark Tale	2004
76	89529	eng	69077	1	1	srt	The Grudge	2004
77	146138	eng	106544	1	1	srt	Shanghai Noon	2000
78	108	eng	86	1	1	srt	Angel Heart	1987
79	2264	eng	1868	1	1	srt	Team America: World Police	2004
80	110	eng	88	1	2	srt	Hi no tori	1978
81	122585	eng	90973	1	1	srt	The Big Bounce	2004
82	100383	eng	76212	1	1	srt	Johnson Family Vacation	2004
83	43444	eng	35919	1	2	srt	Killerdeului suda	2001
85	105743	eng	79764	4	4	srt	Troy	2004
86	499	eng	388	1	1	srt	The Village	2004
87	790	eng	627	1	2	srt	Exorcist: The Beginning	2004
88	121	eng	97	1	2	srt	La grande illusion	1937
89	123	eng	98	1	1	srt	Vozvrashchenie	2003
90	65864	eng	52107	1	1	srt	Anger Management	2003
91	2932	eng	2402	1	2	srt	The Age of Innocence	1993
92	126	eng	101	1	1	srt	Revenge of the Pink Panther	1978
93	1081	eng	871	1	1	srt	Amarcord	1973
94	1359	eng	1108	1	2	srt	The Hunt for Red October	1990
95	42285	eng	35045	1	1	srt	The Naked Gun: From the Files of Police Squad!	1988
96	1952651444	eng	3979275	1	1	srt	Spider-Man 2	2004
97	139	eng	111	1	1	srt	Geunomeun meoshiteotda	2004
98	137	eng	109	1	1	srt	Persona	1966
99	25292	eng	22017	1	1	srt	Point of No Return	1993
100	140	eng	112	1	2	srt	Mimi wo sumaseba	1995
101	145936	eng	106353	1	1	srt	Godzilla	1998
102	148	eng	116	1	1	srt	Willard	2003
103	118221	eng	87955	1	1	srt	Mr 3000	2004
104	1919	eng	1580	1	1	srt	Smallville	2001
105	70147	eng	55354	1	1	srt	The Lion King II: Simba's Pride	1998
106	160681	eng	118205	1	1	srt	Shrek 2	2004
107	334	eng	255	1	1	srt	Zatoichi	2003
108	64651	eng	51244	1	3	srt	The Matrix Reloaded	2003
